,,Q20,Q23,,,,,,,
subject,batch,false train,true train,story,,Which of the following creatures is not a mammal?,Which of the following countries is not in Africa?,Which of the following people is not a comedian?,Which of the following people is not a US president?,Which of the following properties don't all bugs have?
7987,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8587,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8593,blue,0,1,,,Chickens,France,Conan O'Brien,Lady Gaga,Six legs
9541,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8602,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9421,blue,0,1,,,Chickens,France,Conan O'Brien,Lady Gaga,Fur
9634,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8140,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9313,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8608,blue,0,1,,,Chickens,France,Tina Fey,Lady Gaga,Fur
7948,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9682,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9631,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
7990,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9847,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Six legs
8515,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9712,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
7009,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
7408,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Six legs
9493,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
7846,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9511,blue,0,1,,,Chickens,France,Tina Fey,Lady Gaga,Six legs
9157,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
9610,blue,0,1,,,Wolves,France,Conan O'Brien,Lady Gaga,Six legs
9661,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Fur
8167,blue,0,1,,,Chickens,France,Angela Merkel,Lady Gaga,Six legs
7678,blue,0,1,,,,France,Angela Merkel,Lady Gaga,Six legs